"","2051-01-16 12:00:00 GMT","2051-02-16 00:00:00 GMT","2051-03-16 12:00:00 GMT","2051-04-16 00:00:00 GMT","2051-05-16 12:00:00 GMT","2051-06-16 00:00:00 GMT","2051-07-16 12:00:00 GMT","2051-08-16 12:00:00 GMT","2051-09-16 00:00:00 GMT","2051-10-16 12:00:00 GMT","2051-11-16 00:00:00 GMT","2051-12-16 12:00:00 GMT","2052-01-16 12:00:00 GMT","2052-02-16 00:00:00 GMT","2052-03-16 12:00:00 GMT","2052-04-16 00:00:00 GMT","2052-05-16 12:00:00 GMT","2052-06-16 00:00:00 GMT","2052-07-16 12:00:00 GMT","2052-08-16 12:00:00 GMT","2052-09-16 00:00:00 GMT","2052-10-16 12:00:00 GMT","2052-11-16 00:00:00 GMT","2052-12-16 12:00:00 GMT","2053-01-16 12:00:00 GMT","2053-02-16 00:00:00 GMT","2053-03-16 12:00:00 GMT","2053-04-16 00:00:00 GMT","2053-05-16 12:00:00 GMT","2053-06-16 00:00:00 GMT","2053-07-16 12:00:00 GMT","2053-08-16 12:00:00 GMT","2053-09-16 00:00:00 GMT","2053-10-16 12:00:00 GMT","2053-11-16 00:00:00 GMT","2053-12-16 12:00:00 GMT","2054-01-16 12:00:00 GMT","2054-02-16 00:00:00 GMT","2054-03-16 12:00:00 GMT","2054-04-16 00:00:00 GMT","2054-05-16 12:00:00 GMT","2054-06-16 00:00:00 GMT","2054-07-16 12:00:00 GMT","2054-08-16 12:00:00 GMT","2054-09-16 00:00:00 GMT","2054-10-16 12:00:00 GMT","2054-11-16 00:00:00 GMT","2054-12-16 12:00:00 GMT","2055-01-16 12:00:00 GMT","2055-02-16 00:00:00 GMT","2055-03-16 12:00:00 GMT","2055-04-16 00:00:00 GMT","2055-05-16 12:00:00 GMT","2055-06-16 00:00:00 GMT","2055-07-16 12:00:00 GMT","2055-08-16 12:00:00 GMT","2055-09-16 00:00:00 GMT","2055-10-16 12:00:00 GMT","2055-11-16 00:00:00 GMT","2055-12-16 12:00:00 GMT"
"060670002",17.1700315263562,21.5779971950228,23.0900508201668,21.119628260792,21.6623348023692,14.8442750075631,14.0189345666995,14.0189345666995,14.0189345666995,14.0189345666995,14.0189345666995,17.0823045261958,20.880070555311,21.927197036167,22.1320076930329,21.2794129590268,21.1863406487841,21.2600099380604,14.3908901740554,14.0189345666995,14.0189345666995,14.0189345666995,19.9770871293654,15.4235165156321,20.9067619609594,20.3413444564022,21.7726694854669,21.9245925518861,21.135563363845,19.0811096189617,14.0189345666995,14.0189345666995,14.0189345666995,14.0189345666995,18.2129049657411,16.4211246429275,20.7833690327439,23.4493192296451,21.7477776692166,21.2003758057633,21.7303663838687,19.9705745409146,14.0189345666995,14.0189345666995,14.0189345666995,14.7546837135186,14.0189345666995,18.6695425546556,18.6523524792349,18.7275671416554,21.9526660634438,21.7292220833868,21.2304474207317,18.6134970140392,14.0189345666995,14.0189345666995,14.0189345666995,14.0189345666995,14.0189345666995,14.0189345666995
"060670006",17.1700315263562,21.5779971950228,23.0900508201668,21.119628260792,21.6623348023692,14.8442750075631,14.0189345666995,14.0189345666995,14.0189345666995,14.0189345666995,14.0189345666995,17.0823045261958,20.880070555311,21.927197036167,22.1320076930329,21.2794129590268,21.1863406487841,21.2600099380604,14.3908901740554,14.0189345666995,14.0189345666995,14.0189345666995,19.9770871293654,15.4235165156321,20.9067619609594,20.3413444564022,21.7726694854669,21.9245925518861,21.135563363845,19.0811096189617,14.0189345666995,14.0189345666995,14.0189345666995,14.0189345666995,18.2129049657411,16.4211246429275,20.7833690327439,23.4493192296451,21.7477776692166,21.2003758057633,21.7303663838687,19.9705745409146,14.0189345666995,14.0189345666995,14.0189345666995,14.7546837135186,14.0189345666995,18.6695425546556,18.6523524792349,18.7275671416554,21.9526660634438,21.7292220833868,21.2304474207317,18.6134970140392,14.0189345666995,14.0189345666995,14.0189345666995,14.0189345666995,14.0189345666995,14.0189345666995
"060670010",17.6763244939262,21.8848166220723,23.2439233103375,21.4099223041507,21.9352349951937,15.3606900714857,14.4954971476362,14.5469871171615,14.4954971476362,14.4954971476362,14.4954971476362,17.4919379129674,21.1484805790071,22.2096975159251,22.3888202193993,21.4982424024811,21.5258667313203,21.5287437423063,14.867452754992,14.4954971476362,14.4954971476362,14.4954971476362,20.263737320116,16.1033986935267,21.1124146863661,20.3687009161209,22.0186580321467,22.4651039403525,21.37650833125,19.4025845131076,14.4954971476362,14.4954971476362,14.4954971476362,14.4954971476362,18.4959767320454,16.8278136824587,21.0472020052559,23.5233575411382,22.0731178467381,21.493903856946,22.0409264645819,20.2095048395616,14.4954971476362,14.4954971476362,14.4954971476362,15.0779652222013,14.4954971476362,18.9860735021434,19.1580668707449,19.0903999628285,22.1923427319086,21.9654683684676,21.5660602760167,18.7621590436383,14.4954971476362,14.4954971476362,14.4954971476362,14.4954971476362,14.4954971476362,14.4954971476362
"060670011",18.1826174614962,22.1916360491217,23.3977958005081,21.7002163475094,22.2081351880183,15.8771051354083,14.9720597285728,15.0750396676234,14.9720597285728,14.9720597285728,14.9720597285728,17.901571299739,21.4168906027031,22.4921979956832,22.6456327457657,21.7170718459355,21.8653928138565,21.7974775465523,15.3440153359287,14.9720597285728,14.9720597285728,14.9720597285728,20.5503875108666,16.7832808714212,21.3180674117728,20.3960573758396,22.2646465788265,23.0056153288189,21.617453298655,19.7240594072534,14.9720597285728,14.9720597285728,14.9720597285728,14.9720597285728,18.7790484983498,17.23450272199,21.3110349777678,23.5973958526313,22.3984580242597,21.7874319081286,22.351486545295,20.4484351382086,14.9720597285728,14.9720597285728,14.9720597285728,15.401246730884,14.9720597285728,19.3026044496311,19.6637812622549,19.4532327840015,22.4320194003734,22.2017146535485,21.9016731313018,18.9108210732374,14.9720597285728,14.9720597285728,14.9720597285728,14.9720597285728,14.9720597285728,14.9720597285728
"060670012",17.4548569925533,21.8128445078963,23.4532529167723,21.3446318131975,21.8986904930935,15.2858342204066,14.3229370393991,14.3229370393991,14.3229370393991,14.3229370393991,14.3229370393991,17.3068012665422,21.0851972524757,22.1870287727367,22.4238646573815,21.5102868432044,21.4064468824604,21.5866164080082,14.601903744916,14.3229370393991,14.3229370393991,14.3229370393991,20.1236351809704,15.4829733724199,21.1371636971302,20.5476429816309,22.0279478381374,22.198233410751,21.3618674059367,19.5428423802722,14.3229370393991,14.3229370393991,14.3229370393991,14.3229370393991,18.4659058564904,16.6300820502082,21.0054355643877,23.9148760864634,22.0067254170552,21.4076215192326,22.0202450061076,20.378158031917,14.3229370393991,14.3229370393991,14.3229370393991,15.1813110440213,14.3229370393991,18.9439234954766,18.541269735299,18.5755462430923,22.2195276416941,21.9828355021577,21.496067959568,19.1663250236514,14.3229370393991,14.3229370393991,14.3229370393991,14.3229370393991,14.3229370393991,14.3229370393991
"060670014",17.1700315263562,21.5779971950228,23.0900508201668,21.119628260792,21.6623348023692,14.8442750075631,14.0189345666995,14.0189345666995,14.0189345666995,14.0189345666995,14.0189345666995,17.0823045261958,20.880070555311,21.927197036167,22.1320076930329,21.2794129590268,21.1863406487841,21.2600099380604,14.3908901740554,14.0189345666995,14.0189345666995,14.0189345666995,19.9770871293654,15.4235165156321,20.9067619609594,20.3413444564022,21.7726694854669,21.9245925518861,21.135563363845,19.0811096189617,14.0189345666995,14.0189345666995,14.0189345666995,14.0189345666995,18.2129049657411,16.4211246429275,20.7833690327439,23.4493192296451,21.7477776692166,21.2003758057633,21.7303663838687,19.9705745409146,14.0189345666995,14.0189345666995,14.0189345666995,14.7546837135186,14.0189345666995,18.6695425546556,18.6523524792349,18.7275671416554,21.9526660634438,21.7292220833868,21.2304474207317,18.6134970140392,14.0189345666995,14.0189345666995,14.0189345666995,14.0189345666995,14.0189345666995,14.0189345666995
"060675003",17.9611499601233,22.1196639349457,23.607125406943,21.6349258565562,22.1715906859181,15.8022492843292,14.7994996203358,14.8509895898611,14.7994996203358,14.7994996203358,14.7994996203358,17.7164346533138,21.3536072761718,22.4695292524948,22.6806771837479,21.7291162866588,21.7459729649966,21.8553502122542,15.0784663258527,14.7994996203358,14.7994996203358,14.7994996203358,20.4102853717211,16.1628555503144,21.3428164225369,20.5749994413496,22.2739363848172,22.7387447992175,21.6028123733418,19.8643172744181,14.7994996203358,14.7994996203358,14.7994996203358,14.7994996203358,18.7489776227947,17.0367710897394,21.2692685368996,23.9889143979564,22.3320655945767,21.7011495704153,22.3308050868207,20.617088330564,14.7994996203358,14.7994996203358,14.7994996203358,15.504592552704,14.7994996203358,19.2604544429644,19.046984126809,18.9383790642653,22.4592043101589,22.2190817872385,21.831680814853,19.3149870532504,14.7994996203358,14.7994996203358,14.7994996203358,14.7994996203358,14.7994996203358,14.7994996203358
"060690002",20.4810893142705,22.5033904900389,23.4595293226967,21.929825311661,22.394925566993,18.0119757181052,16.0278331479603,16.2749850016817,16.0278331479603,16.0278331479603,16.0278331479603,19.378972270504,21.5472067712247,22.7895543398734,22.8450465007459,21.6885843554952,22.2876703226157,22.1134680928373,16.0278331479603,16.0278331479603,16.0278331479603,16.0278331479603,20.9102996972425,19.4272763118824,21.2978567410533,18.1126093532559,22.3239777194422,24.4964488463977,21.6033625109273,21.2564142242051,16.0278331479603,16.0278331479603,16.0278331479603,16.0278331479603,19.9622267663695,18.5730239074035,21.5252974662513,23.2781092137947,22.788184673645,22.0355791110798,22.745276126831,21.2973372334488,16.0278331479603,16.0278331479603,16.0278331479603,16.0278331479603,16.0278331479603,20.4897416271863,20.596427372632,19.8559673744096,22.4894477549399,22.1312913395822,22.3227250745742,19.658003611082,16.0278331479603,16.0278331479603,16.0278331479603,16.0278331479603,16.0278331479603,16.0278331479603
"060690003",21.8594911756274,23.9975803801397,24.8153994303335,23.4613222076506,23.8801325899603,19.6413308663973,17.6373011634092,18.070640115602,17.6373011634092,17.7902431538242,17.7816387860767,20.774740791225,22.9078197483509,24.2571161979157,24.2893698771062,23.0400528658979,23.8267981556362,23.6225806396515,17.6925325953801,17.6373011634092,17.6373011634092,17.6373011634092,22.2398022676495,20.8178599814517,22.6693262001551,19.8411330335927,23.8090154393878,26.3311881051632,22.9997112532715,22.6419550796508,17.7465998442655,17.6373011634092,17.7877533335433,17.6373011634092,21.2419527244372,20.0358583430616,22.9715411013593,24.7043676296141,24.28888814933,23.568714387498,24.2711532650188,22.6477003404706,17.6373011634092,17.6933360931559,17.6657873353185,17.6373011634092,17.6373011634092,21.7610406122875,21.9913075970204,21.0896837559,23.8790309804069,23.5127558765777,23.8710987133784,21.0953576848507,17.6373011634092,17.6373011634092,17.6373011634092,17.6373011634092,17.6686679146826,17.926893884706
"060710001",27.8310877097495,30.8566503309627,30.0451254310959,30.2142024047474,30.7203283447665,24.4964701252703,20.7615958395479,21.3776361615076,20.7615958395479,21.7138282199066,22.9384665429397,25.9548160016662,27.6341964168008,30.7078484242648,30.9937387037135,29.9723819691481,30.380203361325,29.8297998220514,20.7615958395479,20.7615958395479,20.7615958395479,20.9203355325996,27.1600372739838,26.1330527337677,28.2430950185867,23.6591469798174,30.3650538973424,33.2017845583471,29.8437643908725,27.3747877163368,21.1065192989135,20.7615958395479,23.3675199223489,21.2893454377793,22.9958050604548,24.5147738426893,28.7229516357274,32.9556829007199,31.1457874185701,30.216735948291,31.009507307258,28.7582934931584,20.7615958395479,20.8297049805977,21.9880811155543,21.0273316471063,20.8239323479675,27.2157400057005,26.4214500422704,21.9918745851602,28.7186973057445,29.7556088127982,30.402841687707,26.4499960604617,20.7615958395479,20.7615958395479,20.8703691738592,20.7615958395479,21.4332250609771,22.8917388739312
"060710005",28.6701886665589,31.5698752829277,30.5523417157374,30.7401795904794,31.7452961821273,24.9807352085091,21.6180510935727,22.2016682406925,21.6180510935727,22.7500616585582,23.6680689655307,26.0966540714285,27.6427059703433,31.4139099755226,31.2278655772549,30.4589861364812,30.9129678702604,30.4923142554166,21.6180510935727,21.6180510935727,21.6180510935727,21.7368625757546,28.0185762099794,26.6164751632689,28.7971721530764,23.8932836821868,31.002397565614,34.2246815718394,30.3527735758195,27.9159457435239,22.0426036842512,21.6180510935727,23.9630632599174,22.36363876891,23.5291903552028,24.8141663853362,29.2544364417366,32.6212291681402,31.6740599887637,31.1825044203405,32.017870752889,29.2856498340039,21.6180510935727,21.6825755429883,23.1520735837557,21.764964119137,21.7129399923438,26.9758264802752,27.3574102120098,23.0182608743381,28.8731202813124,29.9026427566882,30.9141103318684,26.4087003319984,21.6180510935727,21.6180510935727,21.7766981266709,21.6180510935727,22.3760861297629,23.7186320081013
"060710012",28.0371464126659,31.0864961439164,30.2668283412808,30.3969006167665,31.132855352123,24.1045545209267,20.5518339273724,21.427259648052,20.5518339273724,21.8791105659998,22.6693082917305,25.4768354540079,27.2507231081683,30.9177193846867,30.8655951579083,29.9621956975618,30.6039335453693,30.0878786925633,20.5518339273724,20.5518339273724,20.5518339273724,20.650285972271,27.4010283656765,25.9722860993432,28.2755593842718,23.1046409731366,30.5668621008838,33.1780223402039,29.9537746921611,27.5505119251589,21.0908798157949,20.5518339273724,23.1337747554573,21.2773107332121,22.7583609196152,23.7388938225267,28.8142725069751,31.9154369016628,31.2336580231977,30.6532397631783,31.4239218091487,28.9913356465083,20.5518339273724,20.6486206014958,22.303870301214,20.6497759444152,20.6070704403104,26.6258290151029,26.7521628202281,22.127107716197,28.627221837281,29.5364127165382,30.7182555556519,25.7585299202419,20.5518339273724,20.5518339273724,20.6447541107104,20.5518339273724,21.3786393264553,22.7939864129154
"060710306",28.2325414523868,31.2665661348923,30.3511987895255,30.5318971238637,31.3000904179145,24.5452866329413,20.9358445786365,21.6815775999562,20.9358445786365,22.1363377959147,23.1119131167769,25.8685662011157,27.4847835531764,31.0995078580138,31.0630616189313,30.1943628140222,30.7194030941126,30.215731186063,20.9358445786365,20.9358445786365,20.9358445786365,21.061070857522,27.6090131630365,26.3248558021552,28.4549383252081,23.4484651332566,30.7207405987037,33.6537617084678,30.1192043509606,27.6391626110541,21.4022750019294,20.9358445786365,23.5623976560667,21.6326987937344,23.0362190760294,24.3317516076335,28.9627600324932,32.4390822717619,31.4150709350813,30.7739097290904,31.5761636496919,29.063178831863,20.9358445786365,21.0182924862231,22.5287421687001,21.0827576042008,21.0066652186794,26.9191655278859,26.9832120359031,22.4073755137064,28.7494028207184,29.7609020458529,30.7750284910792,26.1444281285033,20.9358445786365,20.9358445786365,21.0559580955523,20.9358445786365,21.7217375633223,23.154144150706
"060711001",29.197961311572,32.2931239476584,31.2294836684657,31.4816029836132,31.9708080584386,26.7012587205541,23.0908011902678,23.0908011902678,23.0908011902678,23.4331316073851,25.3545037042398,28.1273712524241,29.3367402283182,32.2281480227604,32.6459539650098,31.6356429032763,31.5066444133736,30.8030321827674,23.0908011902678,23.0908011902678,23.0908011902678,23.4009687203401,28.379416198014,28.0686720052542,29.5930312455409,25.8841080175269,31.7340372570261,35.5726471572232,31.0985416253483,27.8609727665645,23.0908011902678,23.0908011902678,25.5174167476993,23.4266231550176,24.9547011565066,27.6940773240434,30.053517498948,35.6760975681646,32.6428902576334,31.2431377455011,32.2260520380137,29.4236507709657,23.0908011902678,23.0908011902678,23.5212384175437,23.6887962955939,23.2128379099827,29.0574023059588,27.6301501743242,23.7761650600003,29.9913577124229,31.6360782053669,31.1784503606775,28.5458190075918,23.0908011902678,23.0908011902678,23.2947511921015,23.0908011902678,23.5704052453535,24.9383912252194
